env,room_id,issue,status,fix_commit,action_needed,notes
jon,*,search broken on reordered rooms — search index uses stale pdu_ids after reorder-timeline,FIXED,d089b94b8,deploy new binary + re-run reorder-timeline on affected rooms,tokenids table embedded old pdu_id; now deindexed/reindexed during reorder
jon,*,timeline out of order on old rooms — events not topologically sorted,FIXED,d265a8f42,run `yolo reorder-timeline <room_id>` on affected rooms,reorder-timeline command sorts by DAG topology and reassigns PduCount
jon,*,newly joined federated rooms show only state events — backfill never triggers,FIXED,63f0e44ec,deploy new binary,promote_join_outliers filled timeline with state events blocking backfill_if_required; removed entirely
jon,*,client cache clear required after reorder-timeline,WONTFIX,,none — sync already returns limited:true after reorder which tells clients to re-fetch,if Cinny ignores limited:true that is a client bug; Element handles it correctly
jon,*,backfill negative issues — promoted outliers in Backfilled space still block backfill,FIXED,63f0e44ec,deploy new binary,Backfilled(-X) < Normal(Y) always true so first_pdu < from was always true; fix: don't promote outliers at all
jon,!TwS3fRA0v2JEwYmZRk7hZ4k3oWFDRlYzxhwhqJK-BaY,imported room needs search rebuild,OPEN,,re-run reorder-timeline after deploying d089b94b8,imported 347 PDUs + reordered on old binary without search rebuild
jon,!sM2LwqNHGQOgLf35gqxPMy9D7oYde2q9ADg8HPBM3kE,11 ghost users in membership cache,OPEN,,re-run reorder-timeline after deploying b67ef4525 then audit-membership,force-set-room-state done but ghost user fix not yet deployed
jon,*,Visible_shared_history_after_re-joining_room test fails,REFACTOR,,rewrite /messages to use DAG chunk traversal instead of PduCount integer scan,architectural limitation: PduCount flat iterator skips DAG gaps on re-join; backfill inserts at negative space not mid-timeline; advisor cleared for separate branch
jon,*,repair-unsigned populates stale prev_content from time-traveled state after reorder-timeline,FIXED (pending CI),foundation state seeding in reorder-timeline,re-run reorder-timeline + repair-unsigned on affected rooms after deploying,reorder-timeline now computes foundation state by subtracting all timeline state events from full room state before walk. Eliminates time-travel contamination. Self-reference guard (d6d546925) remains as defense-in-depth
dev,!c10y-fNiMx5ijtgGFibzPUfNs9hpQvnJYPTV-fD2KPk,force-set-room-state stores all PDUs as outliers — room has 0 timeline events so /sync omits it,OPEN,,redeploy nutra.tk then re-run force-set or wait for new federation message,force_set_room_state_from_server stores remote state as outliers only; room has correct state (608 joined cache=608) but zero pduid_pdu entries so /sync has nothing to deliver. Room vanishes from clients despite being joined. Needs at least 1 timeline event to anchor /sync
dev,*,backfill_if_required scans the full window + does 1-2x existence probes on every backward /messages call — no sharing across concurrent clients on a large room,PARTIAL (regression reverted),2239f27ce,tier 3 parts 2+3 (migration + read-path swap; 969cb1528) caused a real 100%-reproducible complement regression — TestMessagesPaginationStress/NoDuplicates/Messy_room_activity limit=1+3 failed on every room_version=12 run across all OS/arch — reverted in 2239f27ce; root cause not yet identified; see docs/development-gg/backfill-extremities-write-time-design.md "Open question: what actually broke" before re-attempting,tier 1 (singleflight via mutex_backfill) landed 89b49fe07 and is fine; tier 2 (exact-window gap-free cache) landed b525c5d61 and is fine; tier 3 write-time bookkeeping (8d7951099) is fine and still landed (nothing reads it; inert); tier 3 read-path swap regressed and was reverted — caught via complement-results.log run history (5/5 identical failures on rv12; 0/5 on rv11; ruling out flake); do not re-attempt the read-path swap without first reproducing this failure locally and confirming root cause
